cancellation_id,cancellation_date,original_checkin_date,lead_time_days,conflict_phase,hotel_chain,hotel_tier,country,city,guest_nationality,booking_type,nights_booked,guests,room_type,adr_usd,revenue_lost_usd,cancellation_reason,refund_issued,channel
CXL-0126,2025-10-06,2025-10-09,3,Active Conflict,Four Seasons Hotels,Luxury,Lebanon,Beirut,Italian,MICE,5,1,Suite,786.42,3932.08,Safety concerns — conflict proximity,No Refund,Corporate
CXL-0127,2025-09-03,2025-11-01,59,Active Conflict,Sofitel (Accor),Luxury,UAE,Ras Al Khaimah,Indian,Group,7,3,Deluxe,161.07,1127.46,Airspace closure — flight cancelled,Voucher,Corporate
CXL-0128,2026-05-12,2026-06-08,27,Post-Ceasefire,Radisson Hotel Group,Upper-Upscale,Qatar,Doha,German,Group,2,5,Standard,1241.7,2483.41,Safety concerns — conflict proximity,Voucher,OTA
CXL-0129,2025-04-22,2025-05-24,32,Escalation,Marriott International,Luxury/Upper-Upscale,UAE,Dubai,British,Honeymoon,10,2,Standard,869.41,8694.09,MICE event cancelled,No Refund,Corporate
CXL-0130,2024-10-11,2024-10-19,8,Pre-Tension,Marriott International,Luxury/Upper-Upscale,Egypt,Cairo,Australian,Group,14,2,Deluxe,1791.2,25076.73,Hotel temporarily closed,Full Refund,GDS
CXL-0131,2026-06-25,2026-06-30,5,Post-Ceasefire,Radisson Hotel Group,Upper-Upscale,Lebanon,Beirut,Spanish,Leisure,14,4,Standard,1554.38,21761.27,Force majeure — war clause,Voucher,Direct Website
CXL-0132,2026-03-06,2026-03-10,4,Peak Crisis,Rotana Hotels,Upper-Upscale,Saudi Arabia,Riyadh,Spanish,Honeymoon,6,4,Presidential Suite,1218.34,7310.05,Force majeure — war clause,Voucher,OTA
CXL-0133,2026-05-28,2026-06-09,12,Post-Ceasefire,Best Western,Mid-Scale,Oman,Salalah,South Korean,Business,12,5,Deluxe,1281.65,15379.76,Airspace closure — flight cancelled,No Refund,OTA
CXL-0134,2026-05-18,2026-06-12,25,Post-Ceasefire,Mandarin Oriental,Ultra-Luxury,Bahrain,Muharraq,Canadian,Honeymoon,5,6,Deluxe,1025.57,5127.84,Corporate travel ban,Full Refund,OTA
CXL-0135,2026-01-14,2026-03-09,54,Peak Crisis,Accor Group,Multi-Scale,Egypt,Sharm el-Sheikh,Canadian,Group,13,6,Deluxe,1016.15,13209.99,Corporate travel ban,Full Refund,Corporate
CXL-0136,2025-01-29,2025-04-01,62,Escalation,Jumeirah Group,Ultra-Luxury,Egypt,Hurghada,South Korean,Business,8,3,Suite,973.56,7788.46,MICE event cancelled,No Refund,Corporate
CXL-0137,2025-10-16,2025-11-15,30,Active Conflict,Rotana Hotels,Upper-Upscale,Oman,Salalah,American,Business,10,5,Suite,924.97,9249.65,Safety concerns — conflict proximity,Full Refund,OTA
CXL-0138,2026-01-08,2026-02-25,48,Peak Crisis,Kempinski Hotels,Luxury,Kuwait,Kuwait City,Spanish,Group,10,1,Standard,395.36,3953.61,MICE event cancelled,Full Refund,Corporate
CXL-0139,2025-10-28,2025-11-21,24,Active Conflict,IHG Hotels & Resorts,Upper-Upscale,Bahrain,Muharraq,American,Business,11,1,Pool Villa,501.26,5513.91,Flight rerouting — extended journey,Partial Refund,OTA
CXL-0140,2025-09-09,2025-11-15,67,Active Conflict,Wyndham Hotels,Mid/Upper-Mid,Qatar,Al Rayyan,Chinese,Business,4,2,Presidential Suite,693.55,2774.2,Safety concerns — conflict proximity,Full Refund,Direct Website
CXL-0141,2026-02-05,2026-03-26,49,Peak Crisis,Accor Group,Multi-Scale,Lebanon,Beirut,German,Honeymoon,8,5,Deluxe,354.42,2835.35,Insurance non-coverage,Partial Refund,GDS
CXL-0142,2026-01-16,2026-03-14,57,Peak Crisis,Mandarin Oriental,Ultra-Luxury,Bahrain,Manama,American,Group,3,2,Presidential Suite,1105.37,3316.1,Hotel temporarily closed,Voucher,GDS
CXL-0143,2026-04-02,2026-05-03,31,Post-Ceasefire,Kempinski Hotels,Luxury,Iraq,Erbil,Spanish,Leisure,12,4,Suite,766.31,9195.73,Corporate travel ban,Voucher,Travel Agent
CXL-0144,2026-03-14,2026-03-16,2,Peak Crisis,IHG Hotels & Resorts,Upper-Upscale,Egypt,Hurghada,French,MICE,2,2,Suite,1254.37,2508.75,Airline suspension of routes,No Refund,Direct Website
CXL-0145,2026-03-31,2026-03-31,0,Peak Crisis,Wyndham Hotels,Mid/Upper-Mid,Saudi Arabia,NEOM area,South Korean,Business,8,3,Presidential Suite,202.24,1617.88,Safety concerns — conflict proximity,Full Refund,Corporate
CXL-0146,2025-06-09,2025-07-03,24,Active Conflict,Four Seasons Hotels,Luxury,Jordan,Petra,Chinese,Group,14,3,Deluxe,893.67,12511.34,MICE event cancelled,No Refund,Direct Website
CXL-0147,2025-01-26,2025-03-19,52,Escalation,Anantara Hotels,Luxury,Lebanon,Beirut,Spanish,Honeymoon,14,4,Pool Villa,1761.19,24656.7,Corporate travel ban,No Refund,OTA
CXL-0148,2025-12-12,2025-12-20,8,Active Conflict,Accor Group,Multi-Scale,Bahrain,Muharraq,Italian,Leisure,13,1,Standard,249.73,3246.51,Force majeure — war clause,Partial Refund,Travel Agent
CXL-0149,2026-03-17,2026-03-24,7,Peak Crisis,Wyndham Hotels,Mid/Upper-Mid,Kuwait,Kuwait City,South African,Leisure,5,5,Standard,397.92,1989.59,Hotel temporarily closed,Full Refund,Corporate
CXL-0150,2026-03-23,2026-03-29,6,Peak Crisis,IHG Hotels & Resorts,Upper-Upscale,Iraq,Baghdad,Chinese,Group,3,6,Suite,1117.27,3351.81,Airline suspension of routes,No Refund,Corporate
CXL-0151,2026-04-10,2026-04-22,12,Post-Ceasefire,Four Seasons Hotels,Luxury,Saudi Arabia,Mecca,Indian,Group,8,1,Suite,1560.9,12487.2,Insurance non-coverage,Full Refund,OTA
CXL-0152,2026-02-22,2026-03-12,18,Peak Crisis,Hyatt Hotels,Luxury/Upper-Upscale,Qatar,Al Rayyan,Indian,Group,5,3,Deluxe,1649.18,8245.88,Airspace closure — flight cancelled,Partial Refund,OTA
CXL-0153,2026-02-13,2026-03-30,45,Peak Crisis,Rotana Hotels,Upper-Upscale,Kuwait,Kuwait City,Canadian,Business,12,6,Pool Villa,429.87,5158.42,Force majeure — war clause,Full Refund,Travel Agent
CXL-0154,2026-01-11,2026-03-08,56,Peak Crisis,IHG Hotels & Resorts,Upper-Upscale,Bahrain,Muharraq,British,Honeymoon,5,4,Suite,781.99,3909.96,Force majeure — war clause,Voucher,OTA
CXL-0155,2026-01-07,2026-03-01,53,Peak Crisis,Anantara Hotels,Luxury,UAE,Abu Dhabi,American,Leisure,10,5,Presidential Suite,1557.83,15578.34,MICE event cancelled,No Refund,OTA
CXL-0156,2025-08-26,2025-09-12,17,Active Conflict,Kempinski Hotels,Luxury,Saudi Arabia,Mecca,German,Leisure,13,6,Deluxe,290.92,3781.99,Safety concerns — conflict proximity,No Refund,OTA
CXL-0157,2026-02-21,2026-02-25,4,Peak Crisis,Marriott International,Luxury/Upper-Upscale,Jordan,Petra,Canadian,Leisure,10,3,Pool Villa,869.6,8696.02,Corporate travel ban,No Refund,OTA
CXL-0158,2025-02-20,2025-04-16,55,Escalation,Four Seasons Hotels,Luxury,Jordan,Aqaba,Chinese,Honeymoon,13,1,Standard,381.79,4963.26,Corporate travel ban,Voucher,GDS
CXL-0159,2026-02-26,2026-03-04,6,Peak Crisis,Jumeirah Group,Ultra-Luxury,Oman,Salalah,Chinese,Business,3,5,Suite,248.25,744.75,MICE event cancelled,Partial Refund,Direct Website
CXL-0160,2025-05-30,2025-05-30,0,Escalation,Accor Group,Multi-Scale,Saudi Arabia,NEOM area,South Korean,MICE,3,5,Pool Villa,1111.78,3335.34,Government travel advisory Level 4,No Refund,OTA
CXL-0161,2025-12-10,2025-12-12,2,Active Conflict,Four Seasons Hotels,Luxury,Bahrain,Muharraq,South Korean,Business,12,4,Pool Villa,1637.11,19645.35,Government travel advisory Level 4,No Refund,Direct Website
CXL-0162,2025-07-10,2025-07-10,0,Active Conflict,Sofitel (Accor),Luxury,Saudi Arabia,Jeddah,Indian,Leisure,12,1,Deluxe,328.32,3939.84,Airspace closure — flight cancelled,No Refund,GDS
CXL-0163,2025-10-07,2025-12-11,65,Active Conflict,Best Western,Mid-Scale,Lebanon,Beirut,American,Honeymoon,6,5,Deluxe,640.54,3843.22,Flight rerouting — extended journey,Partial Refund,Corporate
CXL-0164,2025-04-09,2025-05-08,29,Escalation,Anantara Hotels,Luxury,Oman,Muscat,Italian,Honeymoon,7,3,Standard,1728.38,12098.64,Corporate travel ban,Partial Refund,Direct Website
CXL-0165,2026-03-13,2026-03-13,0,Peak Crisis,IHG Hotels & Resorts,Upper-Upscale,Saudi Arabia,Riyadh,German,Business,1,5,Standard,669.16,669.16,Corporate travel ban,Voucher,Corporate
CXL-0166,2026-01-31,2026-02-18,18,Peak Crisis,Anantara Hotels,Luxury,Qatar,Al Rayyan,German,MICE,12,1,Presidential Suite,1349.99,16199.87,Safety concerns — conflict proximity,Voucher,Travel Agent
CXL-0167,2026-03-22,2026-03-25,3,Peak Crisis,Hyatt Hotels,Luxury/Upper-Upscale,Qatar,Doha,Spanish,MICE,6,2,Deluxe,1696.53,10179.21,Airline suspension of routes,Voucher,Travel Agent
CXL-0168,2026-02-27,2026-03-29,30,Peak Crisis,Accor Group,Multi-Scale,Jordan,Amman,Italian,Business,13,2,Pool Villa,1171.48,15229.26,Hotel temporarily closed,Voucher,Travel Agent
CXL-0169,2026-03-02,2026-03-11,9,Peak Crisis,Four Seasons Hotels,Luxury,UAE,Ajman,German,Leisure,14,4,Standard,953.21,13344.96,Flight rerouting — extended journey,No Refund,Direct Website
CXL-0170,2026-03-30,2026-03-30,0,Peak Crisis,Sofitel (Accor),Luxury,UAE,Abu Dhabi,Spanish,MICE,4,6,Standard,209.06,836.25,Airspace closure — flight cancelled,Voucher,Direct Website
CXL-0171,2025-09-27,2025-10-14,17,Active Conflict,Hyatt Hotels,Luxury/Upper-Upscale,Oman,Salalah,American,Group,7,3,Pool Villa,627.41,4391.87,MICE event cancelled,Partial Refund,Corporate
CXL-0172,2025-04-22,2025-05-06,14,Escalation,Four Seasons Hotels,Luxury,Iraq,Erbil,American,Honeymoon,3,2,Deluxe,1066.66,3199.98,Hotel temporarily closed,Partial Refund,Travel Agent
CXL-0173,2026-03-27,2026-03-28,1,Peak Crisis,Kempinski Hotels,Luxury,Egypt,Sharm el-Sheikh,South African,Leisure,7,5,Suite,185.21,1296.5,Safety concerns — conflict proximity,Partial Refund,GDS
CXL-0174,2026-05-29,2026-06-12,14,Post-Ceasefire,Rotana Hotels,Upper-Upscale,Saudi Arabia,Dammam,American,Leisure,10,3,Presidential Suite,1105.04,11050.42,Cruise ship rerouted,Partial Refund,OTA
CXL-0175,2026-02-10,2026-02-25,15,Peak Crisis,Four Seasons Hotels,Luxury,Kuwait,Kuwait City,Australian,Leisure,1,3,Presidential Suite,161.28,161.28,Flight rerouting — extended journey,No Refund,OTA
CXL-0176,2026-03-12,2026-03-21,9,Peak Crisis,Kempinski Hotels,Luxury,Iraq,Erbil,South African,Group,10,5,Deluxe,1159.73,11597.27,Corporate travel ban,Voucher,Travel Agent
CXL-0177,2026-02-23,2026-03-03,8,Peak Crisis,Jumeirah Group,Ultra-Luxury,Saudi Arabia,Jeddah,Chinese,Leisure,1,3,Pool Villa,1654.72,1654.72,Force majeure — war clause,No Refund,GDS
CXL-0178,2025-07-14,2025-08-03,20,Active Conflict,Wyndham Hotels,Mid/Upper-Mid,Oman,Salalah,Brazilian,Business,2,2,Standard,1498.27,2996.53,Corporate travel ban,Full Refund,GDS
CXL-0179,2025-10-27,2025-12-18,52,Active Conflict,Hilton Worldwide,Luxury/Upper-Upscale,Bahrain,Muharraq,American,Leisure,12,6,Pool Villa,1674.34,20092.03,Insurance non-coverage,Voucher,GDS
CXL-0180,2025-11-20,2025-12-04,14,Active Conflict,Best Western,Mid-Scale,Jordan,Amman,British,MICE,13,3,Standard,1361.32,17697.19,Force majeure — war clause,Full Refund,Travel Agent
CXL-0181,2025-07-07,2025-07-25,18,Active Conflict,Hyatt Hotels,Luxury/Upper-Upscale,Bahrain,Muharraq,Japanese,Group,7,6,Standard,953.33,6673.28,Airline suspension of routes,Partial Refund,Direct Website
CXL-0182,2026-03-11,2026-03-14,3,Peak Crisis,Radisson Hotel Group,Upper-Upscale,Qatar,Doha,Canadian,Honeymoon,2,5,Deluxe,1496.41,2992.83,Corporate travel ban,No Refund,Travel Agent
CXL-0183,2026-02-10,2026-02-18,8,Peak Crisis,Anantara Hotels,Luxury,Saudi Arabia,Riyadh,South Korean,Group,3,4,Deluxe,1386.19,4158.56,Flight rerouting — extended journey,Partial Refund,OTA
CXL-0184,2025-02-22,2025-03-24,30,Escalation,Jumeirah Group,Ultra-Luxury,Saudi Arabia,Riyadh,French,Leisure,9,4,Presidential Suite,417.26,3755.31,Corporate travel ban,No Refund,OTA
CXL-0185,2024-09-29,2024-10-11,12,Pre-Tension,IHG Hotels & Resorts,Upper-Upscale,Lebanon,Beirut,Chinese,Leisure,12,4,Standard,641.44,7697.24,Airspace closure — flight cancelled,Partial Refund,OTA
CXL-0186,2026-02-08,2026-02-12,4,Peak Crisis,Jumeirah Group,Ultra-Luxury,Kuwait,Kuwait City,Japanese,MICE,2,4,Presidential Suite,225.14,450.29,Government travel advisory Level 4,Voucher,Corporate
CXL-0187,2025-09-23,2025-12-14,82,Active Conflict,Mandarin Oriental,Ultra-Luxury,Bahrain,Manama,South Korean,Group,2,3,Standard,1086.99,2173.98,Airline suspension of routes,Partial Refund,OTA
CXL-0188,2025-11-12,2025-12-01,19,Active Conflict,IHG Hotels & Resorts,Upper-Upscale,Egypt,Hurghada,German,Leisure,12,2,Standard,656.2,7874.38,Insurance non-coverage,No Refund,OTA
CXL-0189,2026-01-03,2026-02-09,37,Peak Crisis,Hilton Worldwide,Luxury/Upper-Upscale,Jordan,Amman,French,Leisure,1,6,Deluxe,632.29,632.29,Corporate travel ban,No Refund,GDS
CXL-0190,2026-05-29,2026-06-17,19,Post-Ceasefire,Four Seasons Hotels,Luxury,Qatar,Doha,German,Business,8,2,Pool Villa,1279.64,10237.15,Corporate travel ban,Voucher,Travel Agent
CXL-0191,2025-01-22,2025-03-25,62,Escalation,Four Seasons Hotels,Luxury,Jordan,Amman,Japanese,Honeymoon,9,5,Pool Villa,1620.52,14584.65,Flight rerouting — extended journey,Voucher,Travel Agent
CXL-0192,2025-12-06,2025-12-20,14,Active Conflict,IHG Hotels & Resorts,Upper-Upscale,Oman,Muscat,American,Business,9,4,Deluxe,916.79,8251.08,MICE event cancelled,Full Refund,Corporate
CXL-0193,2026-04-29,2026-06-07,39,Post-Ceasefire,Kempinski Hotels,Luxury,Egypt,Sharm el-Sheikh,Japanese,Group,13,2,Deluxe,218.84,2844.89,Airspace closure — flight cancelled,No Refund,GDS
CXL-0194,2025-03-06,2025-04-15,40,Escalation,Anantara Hotels,Luxury,Oman,Salalah,Spanish,Group,9,1,Deluxe,1214.58,10931.23,Force majeure — war clause,Full Refund,Corporate
CXL-0195,2026-03-29,2026-03-29,0,Peak Crisis,Kempinski Hotels,Luxury,Egypt,Sharm el-Sheikh,British,Business,7,3,Standard,1351.06,9457.41,Corporate travel ban,Voucher,GDS
CXL-0196,2026-03-21,2026-03-24,3,Peak Crisis,Mandarin Oriental,Ultra-Luxury,Iraq,Baghdad,Canadian,Group,9,6,Deluxe,686.73,6180.55,Airspace closure — flight cancelled,No Refund,GDS
CXL-0197,2026-03-18,2026-03-21,3,Peak Crisis,Radisson Hotel Group,Upper-Upscale,Bahrain,Manama,Indian,Leisure,2,6,Presidential Suite,1079.84,2159.68,Airline suspension of routes,No Refund,Travel Agent
CXL-0198,2026-04-02,2026-04-19,17,Post-Ceasefire,Kempinski Hotels,Luxury,UAE,Ras Al Khaimah,Japanese,MICE,2,3,Deluxe,475.41,950.83,Airspace closure — flight cancelled,No Refund,GDS
CXL-0199,2026-02-14,2026-03-07,21,Peak Crisis,Accor Group,Multi-Scale,Bahrain,Muharraq,South African,Honeymoon,5,1,Pool Villa,892.79,4463.95,Cruise ship rerouted,Voucher,Travel Agent
CXL-0200,2025-10-07,2025-12-13,67,Active Conflict,Kempinski Hotels,Luxury,Lebanon,Beirut,Spanish,Leisure,12,6,Standard,373.45,4481.4,Airspace closure — flight cancelled,Voucher,Direct Website
CXL-0201,2026-01-02,2026-02-06,35,Peak Crisis,Accor Group,Multi-Scale,UAE,Ajman,Spanish,Business,8,1,Suite,1778.83,14230.6,Insurance non-coverage,Full Refund,Travel Agent
CXL-0202,2025-10-04,2025-12-11,68,Active Conflict,Hilton Worldwide,Luxury/Upper-Upscale,UAE,Sharjah,Japanese,Group,1,6,Presidential Suite,1776.19,1776.19,Flight rerouting — extended journey,Full Refund,Corporate
CXL-0203,2025-08-09,2025-08-28,19,Active Conflict,Mandarin Oriental,Ultra-Luxury,Jordan,Amman,Australian,Leisure,5,3,Suite,1509.15,7545.74,MICE event cancelled,Voucher,Travel Agent
CXL-0204,2025-01-05,2025-01-20,15,Escalation,Radisson Hotel Group,Upper-Upscale,Lebanon,Beirut,German,MICE,13,1,Presidential Suite,531.04,6903.46,Airspace closure — flight cancelled,No Refund,GDS
CXL-0205,2025-12-11,2025-12-11,0,Active Conflict,Hyatt Hotels,Luxury/Upper-Upscale,Egypt,Cairo,Spanish,Honeymoon,5,4,Pool Villa,1238.02,6190.11,MICE event cancelled,Voucher,GDS
CXL-0206,2026-03-28,2026-03-28,0,Peak Crisis,Accor Group,Multi-Scale,Bahrain,Manama,American,Group,13,2,Presidential Suite,997.15,12963.0,MICE event cancelled,Partial Refund,GDS
CXL-0207,2025-10-25,2025-11-14,20,Active Conflict,Marriott International,Luxury/Upper-Upscale,Kuwait,Kuwait City,South African,Business,5,5,Standard,350.0,1750.0,Government travel advisory Level 4,Voucher,GDS
CXL-0208,2025-08-03,2025-08-13,10,Active Conflict,Four Seasons Hotels,Luxury,Kuwait,Kuwait City,Spanish,Leisure,7,3,Deluxe,309.88,2169.16,Flight rerouting — extended journey,No Refund,Corporate
CXL-0209,2025-05-02,2025-05-03,1,Escalation,Accor Group,Multi-Scale,UAE,Abu Dhabi,Italian,Business,4,4,Suite,596.84,2387.36,Insurance non-coverage,Voucher,GDS
CXL-0210,2024-12-18,2024-12-23,5,Pre-Tension,Hyatt Hotels,Luxury/Upper-Upscale,Bahrain,Muharraq,Canadian,Business,6,1,Deluxe,1594.31,9565.86,Government travel advisory Level 4,Full Refund,GDS
CXL-0211,2025-11-11,2025-11-15,4,Active Conflict,Sofitel (Accor),Luxury,Saudi Arabia,Dammam,Russian,Leisure,1,6,Presidential Suite,376.89,376.89,Government travel advisory Level 4,Partial Refund,Travel Agent
CXL-0212,2026-01-27,2026-02-02,6,Peak Crisis,Sofitel (Accor),Luxury,UAE,Sharjah,Canadian,MICE,3,2,Suite,274.39,823.17,Safety concerns — conflict proximity,Voucher,Travel Agent
CXL-0213,2026-02-01,2026-03-20,47,Peak Crisis,Jumeirah Group,Ultra-Luxury,Oman,Muscat,Spanish,Group,5,6,Standard,374.55,1872.74,Government travel advisory Level 4,Voucher,OTA
CXL-0214,2026-05-11,2026-06-22,42,Post-Ceasefire,Accor Group,Multi-Scale,Iraq,Erbil,Italian,Leisure,12,2,Pool Villa,831.59,9979.12,Force majeure — war clause,No Refund,GDS
CXL-0215,2025-12-13,2025-12-23,10,Active Conflict,Best Western,Mid-Scale,Lebanon,Beirut,South Korean,MICE,9,2,Standard,1337.73,12039.57,Hotel temporarily closed,Full Refund,GDS
CXL-0216,2026-03-16,2026-03-25,9,Peak Crisis,Mandarin Oriental,Ultra-Luxury,UAE,Abu Dhabi,Japanese,MICE,4,2,Pool Villa,471.51,1886.03,Airline suspension of routes,No Refund,Corporate
CXL-0217,2025-02-22,2025-05-18,85,Escalation,Jumeirah Group,Ultra-Luxury,Oman,Muscat,South African,Group,9,1,Suite,704.5,6340.54,Airspace closure — flight cancelled,Voucher,Corporate
CXL-0218,2025-04-26,2025-05-09,13,Escalation,Mandarin Oriental,Ultra-Luxury,Oman,Salalah,Chinese,Business,13,3,Suite,1654.91,21513.88,Flight rerouting — extended journey,Voucher,Travel Agent
CXL-0219,2026-02-06,2026-03-27,49,Peak Crisis,Accor Group,Multi-Scale,Kuwait,Kuwait City,Indian,Group,13,5,Suite,554.72,7211.3,Airspace closure — flight cancelled,Full Refund,Travel Agent
CXL-0220,2024-10-17,2024-12-24,68,Pre-Tension,Best Western,Mid-Scale,Lebanon,Beirut,Italian,Group,5,5,Suite,866.74,4333.72,Corporate travel ban,Partial Refund,Travel Agent
CXL-0221,2025-07-29,2025-10-08,71,Active Conflict,Kempinski Hotels,Luxury,Oman,Salalah,American,Business,13,4,Standard,184.15,2393.97,Airspace closure — flight cancelled,No Refund,OTA
CXL-0222,2025-09-01,2025-10-03,32,Active Conflict,Rotana Hotels,Upper-Upscale,Oman,Muscat,Russian,Leisure,7,1,Pool Villa,302.76,2119.3,MICE event cancelled,Partial Refund,Direct Website
CXL-0223,2026-02-02,2026-03-03,29,Peak Crisis,Rotana Hotels,Upper-Upscale,UAE,Ras Al Khaimah,Chinese,Leisure,3,4,Presidential Suite,1721.13,5163.39,Force majeure — war clause,Partial Refund,OTA
CXL-0224,2026-01-08,2026-02-04,27,Peak Crisis,Marriott International,Luxury/Upper-Upscale,Qatar,Al Rayyan,Italian,Honeymoon,11,2,Suite,1386.71,15253.78,Airline suspension of routes,No Refund,GDS
CXL-0225,2026-05-29,2026-06-20,22,Post-Ceasefire,Best Western,Mid-Scale,Qatar,Doha,Indian,Honeymoon,2,4,Presidential Suite,1126.03,2252.05,Force majeure — war clause,No Refund,GDS
CXL-0226,2026-02-15,2026-03-26,39,Peak Crisis,Four Seasons Hotels,Luxury,Oman,Salalah,Italian,Business,9,1,Standard,435.95,3923.52,Flight rerouting — extended journey,No Refund,Direct Website
CXL-0227,2025-06-28,2025-09-03,67,Active Conflict,Sofitel (Accor),Luxury,Bahrain,Manama,British,Business,3,6,Deluxe,611.77,1835.31,MICE event cancelled,Partial Refund,Travel Agent
CXL-0228,2026-01-17,2026-03-18,60,Peak Crisis,Radisson Hotel Group,Upper-Upscale,Jordan,Amman,Spanish,MICE,7,3,Standard,1322.31,9256.18,Force majeure — war clause,Voucher,GDS
CXL-0229,2026-01-13,2026-01-23,10,Peak Crisis,IHG Hotels & Resorts,Upper-Upscale,Qatar,Al Rayyan,British,MICE,9,1,Standard,1729.05,15561.48,Safety concerns — conflict proximity,Partial Refund,Corporate
CXL-0230,2026-01-21,2026-01-25,4,Peak Crisis,Accor Group,Multi-Scale,Egypt,Sharm el-Sheikh,Chinese,Business,11,6,Pool Villa,708.54,7793.96,Safety concerns — conflict proximity,Voucher,Travel Agent
CXL-0231,2026-02-04,2026-02-15,11,Peak Crisis,Wyndham Hotels,Mid/Upper-Mid,Bahrain,Manama,Spanish,Business,12,3,Presidential Suite,508.09,6097.05,Airline suspension of routes,Partial Refund,Travel Agent
CXL-0232,2026-01-28,2026-03-07,38,Peak Crisis,Rotana Hotels,Upper-Upscale,Jordan,Petra,Chinese,Leisure,3,1,Standard,1511.04,4533.12,Airspace closure — flight cancelled,Partial Refund,Travel Agent
CXL-0233,2024-08-13,2024-09-03,21,Pre-Tension,IHG Hotels & Resorts,Upper-Upscale,Saudi Arabia,Mecca,Italian,Honeymoon,11,6,Presidential Suite,564.78,6212.57,MICE event cancelled,Voucher,GDS
CXL-0234,2025-10-06,2025-10-14,8,Active Conflict,Radisson Hotel Group,Upper-Upscale,Oman,Salalah,Chinese,Business,4,1,Standard,1749.83,6999.31,Hotel temporarily closed,Partial Refund,OTA
CXL-0235,2026-01-29,2026-01-30,1,Peak Crisis,Marriott International,Luxury/Upper-Upscale,Iraq,Erbil,French,Group,8,5,Presidential Suite,495.83,3966.62,Airline suspension of routes,Full Refund,Direct Website
CXL-0236,2026-01-25,2026-03-01,35,Peak Crisis,Accor Group,Multi-Scale,Saudi Arabia,NEOM area,Spanish,Business,9,3,Presidential Suite,235.26,2117.32,Cruise ship rerouted,No Refund,Corporate
CXL-0237,2026-03-31,2026-03-31,0,Peak Crisis,Best Western,Mid-Scale,Lebanon,Beirut,South Korean,Leisure,9,6,Presidential Suite,180.59,1625.28,Safety concerns — conflict proximity,Partial Refund,OTA
CXL-0238,2026-03-22,2026-03-29,7,Peak Crisis,Mandarin Oriental,Ultra-Luxury,Saudi Arabia,Jeddah,Spanish,MICE,2,5,Suite,1114.17,2228.33,Safety concerns — conflict proximity,Partial Refund,Corporate
CXL-0239,2026-06-29,2026-06-30,1,Post-Ceasefire,Mandarin Oriental,Ultra-Luxury,Iraq,Erbil,American,MICE,1,2,Pool Villa,537.05,537.05,MICE event cancelled,Voucher,GDS
CXL-0240,2025-04-03,2025-05-01,28,Escalation,IHG Hotels & Resorts,Upper-Upscale,Iraq,Baghdad,South African,Honeymoon,3,2,Pool Villa,172.7,518.11,Hotel temporarily closed,Full Refund,Travel Agent
CXL-0241,2026-03-19,2026-03-23,4,Peak Crisis,Wyndham Hotels,Mid/Upper-Mid,Saudi Arabia,Medina,Italian,MICE,1,2,Standard,1725.33,1725.33,Airline suspension of routes,Full Refund,OTA
CXL-0242,2025-11-08,2025-12-12,34,Active Conflict,Kempinski Hotels,Luxury,Jordan,Aqaba,Australian,MICE,6,5,Suite,1306.1,7836.61,Cruise ship rerouted,No Refund,OTA
CXL-0243,2026-03-15,2026-03-18,3,Peak Crisis,Marriott International,Luxury/Upper-Upscale,Kuwait,Kuwait City,Australian,Business,5,5,Deluxe,1517.59,7587.97,Insurance non-coverage,Voucher,Corporate
CXL-0244,2025-09-09,2025-09-25,16,Active Conflict,Jumeirah Group,Ultra-Luxury,Egypt,Cairo,South African,Leisure,7,3,Suite,322.23,2255.64,Safety concerns — conflict proximity,Full Refund,GDS
CXL-0245,2026-01-29,2026-03-11,41,Peak Crisis,Mandarin Oriental,Ultra-Luxury,Lebanon,Beirut,Canadian,MICE,11,3,Presidential Suite,1656.95,18226.48,Safety concerns — conflict proximity,Full Refund,Travel Agent
CXL-0246,2026-02-03,2026-03-17,42,Peak Crisis,Rotana Hotels,Upper-Upscale,Bahrain,Muharraq,South African,MICE,14,2,Standard,1566.22,21927.06,Insurance non-coverage,Voucher,Travel Agent
CXL-0247,2025-06-09,2025-08-04,56,Active Conflict,Rotana Hotels,Upper-Upscale,Lebanon,Beirut,South African,MICE,9,6,Pool Villa,1526.02,13734.19,Corporate travel ban,Voucher,GDS
CXL-0248,2026-01-12,2026-01-18,6,Peak Crisis,Mandarin Oriental,Ultra-Luxury,Jordan,Petra,Russian,MICE,7,4,Standard,1207.83,8454.78,Hotel temporarily closed,Voucher,Corporate
CXL-0249,2025-10-27,2025-12-23,57,Active Conflict,IHG Hotels & Resorts,Upper-Upscale,Lebanon,Beirut,German,MICE,8,4,Pool Villa,236.44,1891.48,Airline suspension of routes,Full Refund,Travel Agent
CXL-0250,2026-02-15,2026-03-30,43,Peak Crisis,Anantara Hotels,Luxury,Iraq,Baghdad,Australian,Honeymoon,5,2,Standard,1777.83,8889.17,Force majeure — war clause,Voucher,OTA
CXL-0251,2025-10-02,2025-12-21,80,Active Conflict,Best Western,Mid-Scale,Iraq,Baghdad,Brazilian,Group,6,1,Suite,1472.97,8837.83,Insurance non-coverage,Partial Refund,Travel Agent
CXL-0252,2026-06-15,2026-06-19,4,Post-Ceasefire,Kempinski Hotels,Luxury,UAE,Abu Dhabi,French,MICE,12,2,Presidential Suite,924.88,11098.53,Government travel advisory Level 4,Partial Refund,GDS
